LT,LS,LB,WT,WB,Wfi,Fleet
120,100,85,32.2,16.4,8,2
120,100,92,32.2,20.6,7.7,2
120,95,86,32.3,13.6,8.2,2
130,106,90,32.3,16.8,7.5,2
117,95,92,32.5,13.8,8.9,2
123,100,88,32.5,17.1,8.6,2
125,103,90,32.5,17.5,8,2
125,100,90,32.6,13.9,8.2,2
112,88,88,32.9,14.2,7.5,2
127,103,95,33.1,14.4,7.6,2
125,100,90,33.1,18.4,8.6,2
129,99,85,33.2,13.5,7.8,2
123,103,75,33.3,13.4,8.8,2
124,99,92,33.4,14.2,7.5,2
120,100,100,33.4,15.4,6.9,2
124,100,90,33.4,17.5,8.3,2
123,103,90,33.7,16.2,9.8,2
124,99,87,33.8,18.3,9.5,2
119,95,92,34,13.13,7,2
122,100,84,34,18,9.4,2
125,102,90,34,18.8,10.1,2
120,100,90,34.2,32.2,8.6,2
117,94,75,34.5,10,6.2,2
126,103,92,34.7,17.6,10.1,2
115,94,88,34.8,14.7,9.6,2
117,95,90,35,17.7,8.5,2
126,102,90,35,19.5,10.4,2
115,92,85,35.3,15.3,9.7,2
122,100,95,35.7,18.5,8.2,2
130,105,90,36,14,8.2,2
120,100,85,36,18.9,9.1,2
125,100,70,36.3,9,5.2,2
125,104,90,36.8,19.6,9.9,2
120,98,90,37.1,16.8,10.7,2
126,101,82,37.5,12.5,6.4,2
116,93,86,37.6,17.3,4.4,2
125,115,90,37.8,16.3,9.8,2
130,106,102,38,21.2,12.2,2
126,105,95,38.3,13.9,8.8,2
127,100,100,38.4,17,10.7,2
130,106,92,38.6,20.3,11.4,2
124,102,85,38.7,14.5,8.3,2
126,103,90,38.7,14.7,7.8,2
130,105,100,38.7,18.2,11,2
130,110,95,38.7,21.1,9.5,2
130,105,100,38.8,16.8,9.1,2
130,104,95,38.8,19.3,11.7,2
123,102,93,39.3,14.7,8.5,2
134,110,99,39.3,15.1,7.5,2
125,102,90,40.6,20.8,10.8,2
132,106,95,40.7,22,9.5,2
125,102,98,41.9,19.6,12.3,1
140,110,100,43,15.6,9.2,2
127,105,90,43,20.9,10,2
130,106,97,43.2,18.1,11,2
132,109,95,43.3,21.5,10.1,2
122,97,90,43.9,17.3,10.2,2
130,105,95,44.4,20.4,11.4,2
132,109,97,44.7,24,12.2,2
125,100,95,44.9,20.8,13.4,2
135,110,105,45.2,19.6,11.5,2
135,110,98,45.7,24.4,13.8,2
140,117,95,46.5,17.7,9.9,2
140,115,101,48.7,22.2,14,2
131,105,102,49,19.5,11.8,2
139,114,94,49.1,15.6,9,2
140,113,105,49.5,22.7,12,2
132,108,104,49.7,23.8,11.9,2
148,121,109,51.5,21.1,13.5,2
135,110,98,51.8,23.4,13.3,2
145,118,105,52.3,20.1,11.1,2
139,112,108,52.6,21.8,13.5,2
130,109,80,52.9,17.6,9.4,2
138,112,107,53.1,23.7,12.5,2
145,123,115,53.6,24,14,2
137,112,105,55.7,24.3,14,2
145,120,110,56.4,24.1,15,2
146,119,111,57.9,24.3,13.7,2
142,113,105,59.3,26.7,16.2,2
125,99,86,59.8,16,7.2,2
153,125,125,62.1,30.4,20.8,2
159,131,115,63.9,27.8,16,2
150,124,105,64.8,22.9,11.1,2
144,117,115,65.3,31.7,16.5,2
160,130,120,67.2,71.5,17.5,2
147,121,108,69,27,17.3,2
150,120,115,69.3,33.1,22.4,2
155,128,113,69.5,26.2,15.7,2
150,122,110,71.2,31.6,20,2
152,123,96,71.4,25.7,13.4,2
152,125,110,71.4,33.4,20.6,2
138,114,110,71.6,29.5,13.3,2
166,138,120,72.7,39.3,18.9,2
155,125,110,72.9,32.3,20.2,2
161,135,115,73.4,39.2,20.8,2
162,135,110,75.1,27.6,16.5,2
158,130,120,75.1,34.5,21.7,2
152,122,115,77,34.2,21.2,2
154,125,96,77.1,71.7,20.8,2
155,125,115,79.2,34,20.7,2
165,135,125,79.8,35,17.4,2
155,130,120,80.4,39,24.5,1
161,130,120,81.4,39.6,24.8,2
155,127,118,81.6,37.7,21,2
151,125,125,82.8,31,17.1,2
155,126,110,83.3,37.1,26.1,2
160,130,115,83.5,34.8,19.9,2
175,142,140,85.1,44.1,20.1,2
159,136,120,85.6,35,21,2
204,165,148,88,79,46,2
169,135,120,88.6,37.3,22.6,2
160,131,128,89.1,36,22,2
160,133,120,89.1,40.3,25.7,1
171,141,122,89.7,38,24.8,2
155,125,115,91.1,42.7,25.6,2
162,135,123,92,36,36,2
160,130,125,92,40.1,22.4,2
160,135,120,93.2,43.5,27.1,2
165,135,125,93.3,37.7,26.4,2
158,126,116,95,40,20.2,1
175,142,137,95.3,62.6,26.5,2
163,132,121,96,41.6,25.6,2
166,137,120,96.1,43.2,26,2
160,132,115,97.2,46,28.2,1
165,140,120,97.5,47.2,30,2
163,133,120,98.8,40,24.5,2
168,141,121,99,37.8,22.6,2
173,138,131,100.3,41.8,25.1,2
170,138,130,100.5,44.4,26.5,2
165,135,120,102,47,31.1,1
165,135,125,102.7,50.3,30.8,2
170,135,125,103,46.2,28.7,2
180,147,136,103.3,54.9,31,2
168,135,132,104.4,45,9.5,2
161,135,125,104.7,49,27.8,2
175,140,124,105.8,47.3,31.6,2
175,140,125,106,48.5,18.1,2
169,136,122,108.9,40.2,21.1,2
171,141,126,109,44.7,25.1,2
188,156,144,109.9,45.7,27,2
175,141,131,113.2,48.7,12.7,2
174,140,127,114.9,46.7,27.8,2
171,140,124,116.9,48.2,26.2,2
175,145,119,117.6,47.8,24.3,2
181,141,135,119.1,50.8,31.6,2
175,146,139,121,53.7,31.4,2
180,145,137,121.1,61.2,41.1,2
175,145,135,121.9,57,37.3,1
185,150,135,122.3,54.3,30.6,2
182,145,130,122.5,54.9,36.6,2
173,142,120,123.7,53.1,30.1,1
188,155,140,123.7,57.9,26.4,2
193,155,140,125.4,54.9,33.9,2
180,147,132,126,47.7,25.7,2
185,150,135,126,55.5,35.8,2
185,155,135,129.4,57.7,36.3,1
189,156,140,134,58,34.4,1
